name,opening_hours,type,state_district,country,county,state,city_district,postcode,country_code,village,road
Deli lounge,,bar,Surabaya,Indonesia,Lakarsantri,Jawa Timur,RW 04,60185,id,Lakarsantri,Jalan Citraraya Utama
Oase club,,bar,Surabaya,Indonesia,Putat Gede,Jawa Timur,RW 01,60225,id,Putat Gede,Jalan HR. Muhammad
Markas,,bar,Surabaya,Indonesia,Panjang Jiwo,Jawa Timur,RW 02,60119,id,Panjang Jiwo,Jalan Panjang Jiwo
Dal Ga Dot,,bar,Surabaya,Indonesia,Lidah Kulon,Jawa Timur,RW 13,60185,id,Lidah Kulon,Jalan Niagara Gapura
Our Bar,Su-Th 17:00-01:00; Fr-Sa 17:00-02:00,bar,Surabaya,Indonesia,Embong Kaliasin,Jawa Timur,RW 04,60271,id,Embong Kaliasin,Jalan Embong Cerme
Option billiard,Mo-Su 10:00-01:00,bar,Surabaya,Indonesia,Jeruk,Jawa Timur,RW 04,60185,id,Jeruk,Jalan Telaga Utama
Desperados Grill and Bar,"Fr, Sa 18:00-01:30; Mo-Th, Su 18:00-02:30",bar,Surabaya,Indonesia,Pakis,Jawa Timur,RW 10,60256,id,Pakis,Jalan Bintang Diponegoro
STMJ Bu Nunuk Pojok Ngagel,,cafe,Surabaya,Indonesia,Ngagelrejo,Jawa Timur,RW 01,60245,id,Ngagelrejo,Jalan Ngagel Rejo Utara VI
Warkop Damai,,cafe,Surabaya,Indonesia,Wonorejo,Jawa Timur,RW 02,60296,id,Wonorejo,Jalan Wonorejo Asri XXI
Le cafe gourmand,Mo-Su 08:00-23:00,cafe,Surabaya,Indonesia,Babatan,Jawa Timur,Kawasan Superblock Pakuwon,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Elizabeth James,Mo-Su 10:30-22:00,cafe,Surabaya,Indonesia,Pradahkali Kendal,Jawa Timur,RW 02,60185,id,Pradahkali Kendal,Jalan Kondominium Graha Famili
Starbucks,,cafe,Surabaya,Indonesia,Dukuh Pakis,Jawa Timur,RW 05,60225,id,Dukuh Pakis,Jalan Kencanasari Barat I
Calibre Coffee Roasters,,cafe,Surabaya,Indonesia,Ketabang,Jawa Timur,RW 06,60272,id,,Jalan Walikota Mustajab
Palms,,cafe,Surabaya,Indonesia,Lidah Wetan,Jawa Timur,RW 06,60185,id,Lidah Wetan,Jalan Imperial Golf Regency
Monopole Coffee Lab,,cafe,Surabaya,Indonesia,Sono Kwijenan,Jawa Timur,RW 03,60226,id,Sono Kwijenan,Jalan Raya Darmo Permai I
Kedai Tua Baru,Mo-Su 11:00-22:00,cafe,Surabaya,Indonesia,Kedungdoro,Jawa Timur,RW 01,60261,id,Kedungdoro,Jalan Tegalsari
Starbucks,,cafe,Surabaya,Indonesia,Ketabang,Jawa Timur,RW 04,60271,id,Ketabang,Jalan Gubeng Pojok Dalam
Starbucks,Mo-Su 07:30-23:00,cafe,Surabaya,Indonesia,Babatan,Jawa Timur,RW 11,60185,id,Babatan,Jalan Bukit Darmo Boulevard
Excelso,Mo-Su 10:00-22:00,cafe,Surabaya,Indonesia,Lidah Kulon,Jawa Timur,RW 06,60185,id,Lidah Kulon,Jalan Puri Widya Kencana
Kopi Ganes,,cafe,Surabaya,Indonesia,Keputih,Jawa Timur,RW 06,60111,id,Keputih,Jalan Keputih Tegal Timur II
Kedai kopi SINGGALANG,,cafe,Surabaya,Indonesia,Bubutan,Jawa Timur,RW 03,64412,id,Bubutan,Jalan Lamongan
Warkop tugu emas,,cafe,Surabaya,Indonesia,Pakis,Jawa Timur,RW 01,60256,id,Pakis,Jalan Wonokitri 2
jj-coffee,,cafe,,Indonesia,,Jawa Timur,,61256,id,Wedoro,Jalan Brigjend. Katamso
Starbucks,,cafe,Surabaya,Indonesia,Wonokromo,Jawa Timur,RW 04,60231,id,Wonokromo,Jalan Ahmad Yani
